1,1,256
3,2,260
2,2,256
3,1,260
67,7,388
75,4,404
11,4,324
19,5,324
35,6,324
131,8,324
99,6,396
83,5,396
5,3,258
13,4,290
21,5,290
133,8,290
69,7,290
37,6,386
53,5,394
101,7,394
45,4,402
9,4,258
13,3,290
25,5,290
137,8,290
73,7,290
41,6,322
169,8,326
57,5,326
45,3,338
17,5,258
21,3,290
25,4,290
145,8,290
81,7,290
49,6,322
177,8,326
57,4,326
53,3,330
181,8,330
256,9,1
258,2,33
262,3,97
266,4,161
270,3,225
282,5,225
390,8,105
406,5,105
330,7,165
346,5,165
260,3,65
262,2,193
268,4,193
276,5,193
292,6,193
270,4,225
274,5,97
278,3,225
282,4,225
274,5,97
278,3,225
282,4,225
402,8,105
406,3,105
322,7,37
330,4,165
345,5,165
338,5,45
466,8,45
450,8,45
466,5,45
386,8,41
390,3,105
406,5,105
402,5,45
466,7,45
65,7,384
181,1,330
264,4,129
266,2,193
268,3,193
280,5,193
296,6,193
328,7,133
344,5,135
360,6,135
330,2,165
346,5,165
272,5,65
274,2,193
276,3,193
280,4,193
304,6,193
400,8,73
402,2,105
404,3,105
406,2,105
406,3,105
432,6,75
436,3,75
6,3,257
14,4,273
38,6,271
70,7,273
134,8,273
22,5,265
54,6,393
86,7,393
150,8,297
214,7,297
10,4,257
14,3,273
42,6,273
74,7,273
138,8,273
26,5,261
58,6,325
154,8,325
90,7,389
122,6,389
18,5,260
19,1,324
26,4,324
50,6,324
146,8,324
82,7,292
90,4,420
91,1,420
34,6,257
38,3,273
42,4,273
98,7,273
162,8,273
50,5,321
58,4,325
178,8,325
54,3,329
182,8,329
66,7,257
130,8,320
138,4,324
146,5,324
162,6,324
129,8,320
137,4,324
